status,name_of_covered_entity,individuals_affected,breach_submission_date,web_description,location_of_breached_information,state,covered_entity_type,type_of_breach,business_associate_present
current,6f89f11951617ffb8e142912062d5362ce67ee9ea28f54d742578587c5046883,7216,06/28/2022,,Network Server,CA,Healthcare Provider,Hacking/IT Incident,Yes
current,eb9f92b9d0897046593c1c2f911b5931418412d766c86f36e677d7139b2d9847,3300638,02/01/2023,,Network Server,CA,Healthcare Provider,Hacking/IT Incident,No
current,523d24874a89881508a35cfdeeb88eb76cc7fc3244838ed0a33596d793fb4452,43523,07/01/2022,,Email,FL,Business Associate,Hacking/IT Incident,Yes
current,8334b5464f37da37ca1cd4f4f165e1e753e3298908cf6873bd1916424396460f,1298,02/10/2022,,Email,WV,Healthcare Provider,Hacking/IT Incident,No
current,ade04a39ead93556f4116bfc75fca033e83c76350af6839d77f597338746e19c,3359,06/02/2023,,Network Server,NY,Healthcare Provider,Hacking/IT Incident,No
current,e29020674e4b614c463a70515f0aa210a6c2c6049933f4fae1a3342637600f19,500,04/11/2023,,Network Server,WV,Healthcare Provider,Hacking/IT Incident,No
current,11b374f735ed408c5718d2cfc4329ee694d2509e6e509264b38fd561b175e6d1,7054,10/24/2022,,Network Server,NY,Healthcare Provider,Hacking/IT Incident,No
current,f195fa214249df34f27053b28713ba03c7fb734a07e954e86061131aec0c3bfc,978,10/24/2022,,Network Server,MN,Healthcare Provider,Hacking/IT Incident,No
current,ad87442e9797da78ee47d03fef2c95be68795b38312a5e48ec54782d49e43487,501,10/05/2022,,Network Server,CO,Healthcare Provider,Hacking/IT Incident,No
current,51ee757a7bfb6307a6509aa21aedb4686816d2bd38229a710872adb6c1b2ac75,27486,05/27/2022,,Network Server,NY,Healthcare Provider,Hacking/IT Incident,No
current,2dec77e1b75884d77a7b1e331ec40d8e91a0c38c0e85129cfec68e0af8f9f019,500,12/17/2021,,Network Server,IL,Healthcare Provider,Hacking/IT Incident,Yes
current,a6d4559052e04c9dfc8a47f1d32a9addbf9759677072f00bb471eaeeefde3461,50119,12/03/2021,,Network Server,IL,Business Associate,Hacking/IT Incident,Yes
current,c38528589e079202d29348171ae42600bebd83d6b7d4359b3e2c6cbf597a46a6,2000,11/05/2021,,Network Server,GA,Business Associate,Hacking/IT Incident,Yes
current,6b38fd8a020572d8fc0dfc16f66a74efdc0c51d5af14e250db2dbed88d555aa0,1737775,10/26/2021,,Network Server,FL,Healthcare Provider,Hacking/IT Incident,No
current,1717cddd92dbc7afdd602e3d93192e579f10af727a36ef01a63a8442b931b50a,62342,07/02/2021,,Network Server,MS,Healthcare Provider,Hacking/IT Incident,No
archive,29620fd8301c5bc38a34aca06f266b11305f2d02d5fa724da6945eebf85dfe06,72143,07/24/2020,,"Other Portable Electronic Device, Paper/Films",IL,Healthcare Provider,Theft,No
archive,d760c89b454bcbd7f57f30ca167ba173b35a3d090adccb9ae7615e2067313c27,1087,07/13/2018,,Laptop,CO,Healthcare Provider,Theft,No
current,85a1f20e3d8b553cd49449b8fbbe95446c0838af505a6f85a6423c8a836294ed,7069,09/23/2022,,Network Server,NY,Healthcare Provider,Hacking/IT Incident,No
current,98823ccd5e4aeb0cdcfd6a8d7ae3198c7a18d09016ffcf8c28548657bfe55ac5,3000,10/26/2021,,Desktop Computer,WA,Healthcare Provider,Hacking/IT Incident,No
current,8cc1e6d0ab735a7833b7ce6f97e501380a0a808a2bc55c7b6e2dbedb0715f74b,112611,06/30/2023,,Network Server,PA,Business Associate,Unauthorized Access/Disclosure,Yes
current,68a3767da79c93e02798c283b2e17ed3564b01be220bc42c05c9e2be88175786,500,06/06/2023,,Email,MI,Healthcare Provider,Hacking/IT Incident,No
